"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","GeneID","GeneSymbol","HT_Pvalue","IsSingleNode","known_HT_gene","Known_MS_gene","MS_Pvalue","name","NeighborhoodConnectivity","Node Class","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.109317343173432","2.4374423833013975E-4","0.24334942193287687","0.23809523809523808","7","9","4049","","0.182","false","","","1.0E-7","LTA","28.142857142857142","Neutral","0","7","0","0.9892411164596076","false","0","LTA","299466","0.20186335403726707"
"3.218519372693727","0.01577587817866395","0.3107018738131919","0.04544944450678936","134","7","2885","","0.209","false","","YES","0.03431","GRB2","20.82089552238806","Indispensable","0","134","0","0.9923234623782224","false","0","GRB2","14146542","0.01915794163510804"
"4.109086715867159","7.841666174319762E-5","0.24336308020429925","0.2","5","8","9844","","0.0751","false","","YES","0.02817","ELMO1","34.6","Dispensable","0","5","0","0.9892419144779684","false","0","ELMO1","47174","0.20722891566265061"
"4.183809963099631","1.143004208300238E-5","0.23901659224960034","0.0","2","9",,"","0.715","false","","","0.04801","SPHK2","78.0","","0","2","0","0.988983356529067","false","0","SPHK2","10610","0.5133333333333333"
"4.515567343173432","0.0","0.22145611481396357","0.0","1","10","4664","","0.08258","false","","YES","0.0352","NAB1","15.0","Dispensable","0","1","0","0.987835407117047","false","0","NAB1","0","0.0"
"3.6457564575645756","5.545668526242552E-4","0.2742914979757085","0.12105263157894737","20","9","1029","","0.331","false","","","0.03186","CDKN2A","35.15","Indispensable","0","20","0","0.9908451333648285","false","0","CDKN2A","568866","0.06819066147859922"
"4.220595018450185","7.744710248065236E-5","0.2369334171197508","0.0","2","9","51735","","0.605","false","","","0.0026","RAPGEF6","84.5","Dispensable","0","2","0","0.9888560726005184","false","0","RAPGEF6","36366","0.5"
"4.788053505535055","0.0","0.20885313809546746","0.0","1","10",,"","0.0714","false","","","0.03643","PRSS36","25.0","","0","1","0","0.9868925484237541","false","0","PRSS36","0","0.0"
"4.132841328413284","2.582086922313221E-4","0.24196428571428572","0.0","4","8","1879","","0.664","false","YES","","0.01174","EBF1","57.5","Neutral","0","4","0","0.9891597185868052","false","0","EBF1","143228","0.25223214285714285"
"4.330488929889299","2.600077424881604E-4","0.23092080737071952","0.0","6","9","1959","","0.401","false","","","0.04479","EGR2","13.333333333333334","Neutral","0","6","0","0.9884758168515942","false","0","EGR2","268264","0.18407960199004975"
"3.7019142066420665","5.0676304568028865E-5","0.270130517397128","0.2","5","8","8575","","0.218","false","","","0.03647","PRKRA","108.6","Neutral","0","5","0","0.9906508158939721","false","0","PRKRA","99504","0.23676148796498905"
"3.896909594095941","8.347854562454007E-5","0.2566136000473457","0.47058823529411764","18","9","10538","","0.01328","false","","YES","5.9E-5","BATF","31.166666666666668","Neutral","0","18","0","0.9899760913699103","false","0","BATF","159244","0.11416361416361416"
"3.8223016605166054","6.906909181133078E-4","0.26162246960509244","0.1388888888888889","9","9","10477","","0.716","false","","","0.01307","UBE2E3","49.111111111111114","Neutral","0","9","0","0.9902342503096312","false","0","UBE2E3","425324","0.12904174015285128"
"4.294511070110701","6.014081230920935E-4","0.23285537833628697","0.14285714285714285","8","9","65110","","0.208","false","","","0.04101","UPF3A","11.75","Neutral","0","8","0","0.9886003077158798","false","0","UPF3A","452118","0.14423076923076922"
"4.4486854243542435","0.0","0.2247855050675238","0.0","1","9","1611","","0.45","false","","YES","0.00562","DAP","72.0","Dispensable","0","1","0","0.9880668324416807","false","0","DAP","0","0.0"
"4.412361623616236","6.303721519758856E-7","0.22663600250888566","0.0","2","9","57534","","0.729","false","","","0.02427","MIB1","10.5","Dispensable","0","2","0","0.9881925203335079","false","0","MIB1","468","0.5"
"3.471632841328413","0.0054786051495425165","0.28804889390819105","0.007978723404255319","48","8","6720","","0.844","false","","","0.04185","SREBF1","15.75","Dispensable","0","48","0","0.9914476372272373","false","0","SREBF1","4169536","0.031119791666666667"
"5.318496309963099","0.0","0.18802306925111661","0.0","1","10","7746","","0.208","false","","","2.31E-4","ZNF193","9.0","Dispensable","0","1","0","0.9850571061938993","false","0","ZNF193","0","0.0"
