GeneID	GeneSymbol	Node Class
5589	PRKCSH	Neutral
1950	EGF	Dispensable
2782	GNB1	Indispensable
5720	PSME1	Neutral
2037	EPB41L2	Neutral
9867	PJA2	Dispensable
5578	PRKCA	Indispensable
164127	C1orf65	Dispensable
5327	PLAT	Indispensable
23002	DAAM1	Dispensable
55	ACPP	Dispensable
54938	SARS2	Dispensable
56924	PAK6	Dispensable
3592	IL12A	Neutral
392255	GDF6	Dispensable
6281	S100A10	Neutral
8723	SNX4	Neutral
6134	RPL10	Dispensable
10193	RNF41	Neutral
8801	SUCLG2	Indispensable
6434	SFRS10	Indispensable
27097	TAF5L	Dispensable
10574	CCT7	Dispensable
89	ACTN3	Neutral
988	CDC5L	Indispensable
4342	MOS	Dispensable
2295	FOXF2	Neutral
1454	CSNK1E	Indispensable
23420	NOMO1	Dispensable
63971	KIF13A	Dispensable
2533	FYB	Neutral
23564	DDAH2	Neutral
7454	WAS	Indispensable
57630	SH3RF1	Neutral
10044	SH2D3C	Dispensable
23119	HIC2	Neutral
649	BMP1	Neutral
5527	PPP2R5C	Neutral
64332	NFKBIZ	Dispensable
8793	TNFRSF10D	Neutral
642	BLMH	Indispensable
3903	LAIR1	Dispensable
140628	GATA5	Neutral
2150	F2RL1	Neutral
50859	SPOCK3	Neutral
23650	TRIM29	Neutral
26164	GTPBP5	Dispensable
11279	KLF8	Neutral
64216	TFB2M	Dispensable
1908	EDN3	Indispensable
23216	TBC1D1	Dispensable
4291	MLF1	Indispensable
2792	GNGT1	Dispensable
10912	GADD45G	Indispensable
10190	TXNDC9	Dispensable
11168	PSIP1	Dispensable
4849	CNOT3	Neutral
6242	RTKN	Dispensable
387755	INSC	Indispensable
8668	EIF3I	Dispensable
2665	GDI2	Dispensable
283518	KCNRG	Neutral
4609	MYC	Indispensable
7272	TTK	Dispensable
5592	PRKG1	Indispensable
26578	OSTF1	Dispensable
776	CACNA1D	Dispensable
3738	KCNA3	Neutral
94120	SYTL3	Dispensable
66008	TRAK2	Neutral
23404	EXOSC2	Neutral
1269	CNR2	Neutral
181	AGRP	Neutral
6239	RREB1	Neutral
11073	TOPBP1	Indispensable
11069	RAPGEF4	Dispensable
4242	MFNG	Dispensable
29763	PACSIN3	Dispensable
2893	GRIA4	Neutral
5204	PFDN5	Neutral
326	AIRE	Dispensable
2886	GRB7	Neutral
9063	PIAS2	Indispensable
8892	EIF2B2	Dispensable
335	APOA1	Indispensable
6660	SOX5	Neutral
4681	NBL1	Dispensable
7189	TRAF6	Indispensable
4287	ATXN3	Neutral
22980	TCF25	Dispensable
57448	BIRC6	Dispensable
2791	GNG11	Dispensable
29984	RHOD	Neutral
5362	PLXNA2	Neutral
4664	NAB1	Dispensable
282991	BLOC1S2	Neutral
5756	TWF1	Dispensable
4856	NOV	Indispensable
9110	MTMR4	Dispensable
1289	COL5A1	Dispensable
7159	TP53BP2	Indispensable
841	CASP8	Indispensable
1044	CDX1	Neutral
90390	MED30	Neutral
5737	PTGFR	Indispensable
56477	CCL28	Dispensable
51700	CYB5R2	Dispensable
91	ACVR1B	Indispensable
4116	MAGOH	Neutral
7402	UTRN	Dispensable
26228	STAP1	Neutral
467	ATF3	Indispensable
474	ATOH1	Dispensable
9088	PKMYT1	Neutral
3563	IL3RA	Neutral
8324	FZD7	Dispensable
11198	SUPT16H	Neutral
27335	EIF3K	Neutral
11177	BAZ1A	Neutral
29082	CHMP4A	Neutral
27018	NGFRAP1	Neutral
11078	TRIOBP	Neutral
9497	SLC4A7	Dispensable
2919	CXCL1	Dispensable
22926	ATF6	Neutral
6915	TBXA2R	Dispensable
23492	CBX7	Neutral
7334	UBE2N	Dispensable
8745	ADAM23	Dispensable
8899	PRPF4B	Neutral
3489	IGFBP6	Dispensable
79048	SECISBP2	Dispensable
10215	OLIG2	Neutral
5338	PLD2	Neutral
5081	PAX7	Neutral
54908	CCDC99	Dispensable
7164	TPD52L1	Neutral
5934	RBL2	Indispensable
4176	MCM7	Indispensable
10363	HMG20A	Indispensable
5961	PRPH2	Indispensable
3807	3807	Dispensable
152789	JAKMIP1	Dispensable
2911	GRM1	Neutral
85406	DNAJC14	Dispensable
54812	AFTPH	Dispensable
10681	GNB5	Indispensable
928	CD9	Neutral
27111	SDCBP2	Neutral
8313	AXIN2	Dispensable
10451	VAV3	Indispensable
57559	STAMBPL1	Dispensable
23093	TTLL5	Dispensable
64283	RGNEF	Dispensable
217	ALDH2	Neutral
4276	MICA	Dispensable
7143	TNR	Neutral
4076	CAPRIN1	Neutral
196477	C12orf12	Dispensable
9545	RAB3D	Neutral
55690	PACS1	Dispensable
23499	MACF1	Indispensable
3832	KIF11	Dispensable
4928	NUP98	Indispensable
51100	SH3GLB1	Dispensable
11335	CBX3	Neutral
9993	DGCR2	Dispensable
11184	MAP4K1	Neutral
472	ATM	Neutral
55684	C9orf86	Neutral
1655	DDX5	Neutral
1943	EFNA2	Neutral
5077	PAX3	Neutral
11269	DDX19B	Dispensable
3779	KCNMB1	Neutral
5724	PTAFR	Neutral
26151	NAT9	Dispensable
160622	GRASP	Indispensable
8936	WASF1	Neutral
1428	CRYM	Dispensable
2769	GNA15	Indispensable
26548	ITGB1BP2	Dispensable
79738	BBS10	Dispensable
55299	BXDC2	Neutral
1018	CDK3	Indispensable
9924	PAN2	Dispensable
10575	CCT4	Neutral
998	CDC42	Indispensable
2806	GOT2	Neutral
55297	CCDC91	Dispensable
9241	NOG	Neutral
7922	SLC39A7	Dispensable
3032	HADHB	Dispensable
4831	NME2	Neutral
1789	DNMT3B	Indispensable
8733	GPAA1	Dispensable
3880	KRT19	Neutral
3192	HNRNPU	Neutral
22903	BTBD3	Dispensable
26505	CNNM3	Dispensable
4294	MAP3K10	Indispensable
10498	CARM1	Indispensable
5159	PDGFRB	Indispensable
6733	SRPK2	Dispensable
8352	HIST1H3C	Neutral
1838	DTNB	Neutral
1773	DNASE1	Dispensable
1058	CENPA	Dispensable
54819	ZCCHC10	Dispensable
10287	RGS19	Neutral
283455	KSR2	Dispensable
58508	MLL3	Dispensable
6374	CXCL5	Dispensable
56478	EIF4ENIF1	Neutral
1535	CYBA	Neutral
81794	ADAMTS10	Neutral
7718	ZNF165	Neutral
7412	VCAM1	Indispensable
10891	PPARGC1A	Indispensable
8106	PABPN1	Dispensable
9419	CRIPT	Dispensable
11258	DCTN3	Neutral
5270	SERPINE2	Dispensable
729	C6	Neutral
2	A2M	Indispensable
9887	SMG7	Neutral
2125	EVPL	Dispensable
54507	ADAMTSL4	Neutral
2553	GABPB1	Neutral
1231	CCR2	Neutral
2979	GUCA1B	Neutral
50862	RNF141	Dispensable
973	CD79A	Neutral
51284	TLR7	Neutral
2961	GTF2E2	Neutral
2569	GABRR1	Dispensable
5644	PRSS1	Neutral
1046	CDX4	Neutral
5864	RAB3A	Indispensable
51513	ETV7	Neutral
2571	GAD1	Indispensable
11215	AKAP11	Dispensable
